n_Name	Name	SpType	Teff	e_Teff	log(g)	e_log(g)	[Fe/H]	e_[Fe/H]	r_[Fe/H]	SimbadName	_RA	_DE
 	 	 	K	K	[cm/s2]	[cm/s2]	[Sun]	[Sun]	 	 	deg	deg
-	----------	------------	-----	----	-----	-----	-----	-----	--	----------	---------	---------
 	HD009270  	G7IIa       	 5006	  34	 2.26	 0.08	-0.06	 0.08	0 	HD009270  	022.87087	+15.34582
 	HD009408  	G9IIIb      	 4844	  31	 2.51	 0.09	-0.30	 0.07	0 	HD009408  	023.48282	+59.23204
 	HD009562  	G2IV        	 5819	  45	 3.91	 0.09	 0.17	 0.07	0 	HD009562  	023.42849	-07.02534
 	HD009826  	F8V         	 6151	  40	 4.10	 0.07	 0.08	 0.05	0 	HD009826  	024.19934	+41.40546
 	HD009856  	K1III       	 4426	  24	 2.08	 0.10	-0.11	 0.06	0 	HD009856  	023.99570	-15.40018
 	HD009927  	K3III       	 4371	  21	 2.29	 0.10	 0.12	 0.05	0 	HD009927  	024.49815	+48.62821
 	HD010307  	G1.5V       	 5881	  49	 4.29	 0.09	 0.03	 0.08	0 	HD010307  	025.44643	+42.61337
 	HD010362  	B7II        	14902	 368	 3.31	 0.12	 0.32	 0.12	0 	HD010362  	025.74300	+61.42107
 	HD010476  	K1V         	 5229	  33	 4.58	 0.06	 0.02	 0.06	0 	HD010476  	025.62401	+20.26850
 	HD010486  	K2IV        	 4896	  33	 3.39	 0.08	 0.36	 0.06	0 	HD010486  	025.81877	+45.32265
 	HD010700  	G8V         	 5394	  34	 4.56	 0.07	-0.47	 0.07	0 	HD010700  	026.01701	-15.93748
 	HD010761  	G8III       	 4997	  35	 2.54	 0.09	-0.06	 0.08	0 	HD010761  	026.34846	+09.15774
 	HD010780  	K0V         	 5417	  37	 4.63	 0.07	 0.11	 0.07	0 	HD010780  	026.93681	+63.85250
 	HD010975  	K0III       	 4889	  31	 2.51	 0.09	-0.22	 0.07	0 	HD010975  	027.16219	+37.95287
 	HD011007  	F8V         	 5971	  44	 4.08	 0.08	-0.22	 0.07	0 	HD011007  	027.17318	+32.69021
 	HD011503  	A1p...      	10990	 241	 3.70	 0.21	 0.43	 0.14	0 	HD011503  	028.38237	+19.29408
 	HD011592  	F5V         	 6328	  47	 4.21	 0.06	-0.34	 0.07	0 	HD011592  	028.49034	+10.61403
 	HD011636  	A5V         	 8061	  43	 3.88	 0.04	 0.07	 0.04	0 	HD011636  	028.66004	+20.80803
 	HD011749  	K0III       	 4713	  30	 2.44	 0.10	-0.21	 0.07	0 	HD011749  	029.03902	+37.25183
 	HD012303  	B8III       	12230	 157	 4.19	 0.05	 0.30	 0.08	0 	HD012303  	030.57545	+54.48754
 	HD012339  	G8III       	 5022	  27	 2.51	 0.07	-0.06	 0.06	0 	HD012339  	031.38145	+76.11506
 	HD012533  	K3IIb...    	 4319	  18	 1.50	 0.08	 0.04	 0.05	0 	HD012533  	030.97480	+42.32972
 	HD012929  	K2III       	 4527	  19	 2.42	 0.07	-0.19	 0.04	0 	HD012929  	031.79336	+23.46242
 	HD012953  	A1Iae       	10766	 185	 1.65	 0.05	 0.37	 0.11	0 	HD012953  	032.16908	+58.42360
 	HD013475  	B9V+...     	 5122	  74	 2.65	 0.20	-0.31	 0.17	0 	HD013475  	033.62122	+66.52443
 	HD013530  	G8III:var   	 4863	  28	 2.72	 0.09	-0.57	 0.06	0 	HD013530  	033.40143	+51.06582
 	HD013555  	F5V         	 6432	  26	 4.07	 0.04	-0.19	 0.04	0 	HD013555  	033.20036	+21.21099
 	HD013611  	G8Iab:      	 5101	  30	 2.34	 0.08	-0.21	 0.07	0 	HD013611  	033.24998	+08.84672
 	HD013974  	G0.5V       	 5711	  37	 4.39	 0.07	-0.42	 0.07	0 	HD013974  	034.26346	+34.22423
 	HD014214  	G0.5IV      	 5975	 105	 4.11	 0.23	 0.03	 0.21	0 	HD014214  	034.50600	+01.75780
 	HD014489  	A2Ia        	10650	 136	 1.74	 0.04	 0.26	 0.08	0 	HD014489  	035.58931	+55.84565
 	HD014625  	G8III       	 4836	  30	 2.84	 0.08	 0.23	 0.06	0 	HD014625  	035.41848	-00.14862
 	HD014626  	K0          	 4630	  26	 2.73	 0.09	-0.19	 0.06	0 	HD014626  	035.43201	-00.35133
 	HD014770  	G8III       	 5016	  28	 2.55	 0.07	-0.02	 0.06	0 	HD014770  	036.10382	+50.00655
 	HD014938  	F5          	 6116	  94	 4.18	 0.16	-0.35	 0.15	0 	HD014938  	036.09713	-03.10404
 	HD015318  	B9III       	10055	 158	 3.73	 0.11	-0.43	 0.11	0 	HD015318  	037.03976	+08.46005
 	HD015335  	G0V         	 5912	  33	 4.02	 0.06	-0.18	 0.05	0 	HD015335  	037.20206	+29.93176
 	HD015596  	G5III-IV    	 4853	  23	 2.85	 0.07	-0.65	 0.05	0 	HD015596  	037.72666	+17.70386
O	HD015798  	F5V         	 6470	  47	 4.07	 0.06	-0.15	 0.06	0 	HD015798  	038.02178	-15.24468
 	HD015920  	G8III       	 5119	  29	 2.84	 0.07	-0.08	 0.06	0 	HD015920  	039.50846	+72.81825
O	HD016458  	G8p...      	 4484	  17	 1.57	 0.06	-0.53	 0.04	1 	HD016458  	041.94878	+81.44848
 	HD016673  	F6V         	 6219	  46	 4.29	 0.07	-0.05	 0.06	0 	HD016673  	040.05176	-09.45287
 	HD016895  	F7V         	 6247	  35	 4.21	 0.06	-0.04	 0.05	0 	HD016895  	041.04994	+49.22845
 	HD017081  	B7IV        	12678	 164	 4.12	 0.05	 0.24	 0.07	0 	HD017081  	041.03062	-13.85870
 	HD017361  	K1.5III     	 4670	  20	 2.64	 0.07	 0.05	 0.04	0 	HD017361  	041.97725	+29.24712
 	HD017378  	A5Ia        	 8473	  43	 1.20	 0.03	 0.05	 0.06	0 	HD017378  	042.37807	+57.08432
 	HD017463  	F5Ib...     	 6919	  50	 3.16	 0.08	 0.31	 0.05	0 	HD017463  	042.99480	+68.88850
 	HD017506  	K3Ib...     	 4200	  73	 1.03	 0.31	 0.08	 0.17	0 	HD017506  	042.67421	+55.89550
 	HD017548  	F8          	 5990	  27	 4.24	 0.05	-0.59	 0.05	0 	HD017548  	042.21604	-01.50965
 	HD017925  	K1V         	 5174	  25	 4.63	 0.05	 0.16	 0.05	0 	HD017925  	043.13387	-12.76971
O	HD018296  	B9p...      	12326	 197	 4.02	 0.11	 0.90	 0.08	0 	HD018296  	044.32201	+31.93422
 	HD018322  	K1III       	 4642	  20	 2.58	 0.07	-0.12	 0.04	0 	HD018322  	044.10687	-08.89814
 	HD018449  	K2III       	 4403	  22	 2.21	 0.10	-0.12	 0.06	0 	HD018449  	044.76532	+35.18313
 	HD018474  	G5:III...   	 5038	  49	 2.59	 0.14	-0.28	 0.13	0 	HD018474  	044.95747	+47.22069
 	HD018768  	F8          	 5805	  46	 3.89	 0.09	-0.54	 0.08	0 	HD018768  	045.71780	+47.11055
 	HD018778  	A7III-IV    	 7763	  68	 3.89	 0.06	 0.06	 0.06	0 	HD018778  	047.92780	+81.47071
 	HD019476  	K0III       	 4978	  25	 2.97	 0.06	 0.14	 0.05	0 	HD019476  	047.37405	+44.85754
 	HD019510  	F0.5        	 6108	  55	 3.91	 0.09	-2.13	 0.13	0 	HD019510  	047.12869	+10.44590
 	HD019656  	K0III       	 4684	  21	 2.33	 0.07	-0.05	 0.05	0 	HD019656  	047.82242	+39.61158
 	HD019787  	K2III       	 4869	  24	 2.79	 0.07	 0.10	 0.05	0 	HD019787  	047.90736	+19.72668
O	HD019994  	F8V         	 6081	  29	 4.05	 0.05	 0.15	 0.04	0 	HD019994  	048.19349	-01.19610
 	HD020084  	G3IIp+...   	 5006	  39	 2.22	 0.11	-0.68	 0.10	0 	HD020084  	053.08385	+84.91104
 	HD020123  	G5Iab:      	 5268	  29	 1.59	 0.06	-0.11	 0.07	0 	HD020123  	049.05085	+50.93766
 	HD020468  	K2II        	 4387	  25	 1.39	 0.08	 0.04	 0.06	0 	HD020468  	049.68260	+34.22265
 	HD020618  	G6IV        	 5093	  26	 3.14	 0.07	-0.25	 0.06	0 	HD020618  	049.98249	+27.07113
 	HD020797  	M0Iab:      	 3918	  14	 0.48	 0.08	 0.17	 0.04	0 	HD020797  	051.16899	+64.58600
 	HD020893  	K3III       	 4379	  22	 2.29	 0.10	 0.09	 0.05	0 	HD020893  	050.68851	+20.74207
O	HD020902  	F5Iab:      	 6490	  13	 1.74	 0.03	 0.14	 0.02	1 	HD020902  	051.08071	+49.86118
 	HD022049  	K2V         	 5119	  26	 4.71	 0.05	 0.00	 0.05	0 	HD022049  	053.23268	-09.45826
O	HD022211  	G0          	 6018	  49	 3.42	 0.11	 0.20	 0.07	0 	HD022211  	053.70451	+06.41769
O	HD022468  	K2:Vnk      	 4748	  50	 3.42	 0.14	-0.16	 0.10	0 	HD022468  	054.19704	+00.58776
