n_Name	Name	SpType	Teff	e_Teff	log(g)	e_log(g)	[Fe/H]	e_[Fe/H]	r_[Fe/H]	SimbadName	_RA	_DE
 	 	 	K	K	[cm/s2]	[cm/s2]	[Sun]	[Sun]	 	 	deg	deg
-	----------	------------	-----	----	-----	-----	-----	-----	--	----------	---------	---------
 	HD090277  	F0V         	 7292	  36	 3.82	 0.04	 0.19	 0.04	0 	HD090277  	156.47839	+33.79612
 	HD090508  	F9V         	 5790	  32	 4.33	 0.06	-0.33	 0.06	0 	HD090508  	157.01618	+48.78490
 	HD091190  	K0III       	 5039	  29	 2.78	 0.07	 0.00	 0.06	0 	HD091190  	158.77284	+75.71295
 	HD091204  	G0          	 5842	  43	 4.12	 0.08	 0.19	 0.06	0 	HD091204  	158.02293	+17.98975
 	HD091752  	F3V         	 6524	  28	 4.11	 0.04	-0.15	 0.04	0 	HD091752  	159.08926	+36.32693
 	HD091889  	F7V         	 6111	  31	 4.15	 0.05	-0.24	 0.05	0 	HD091889  	159.13493	-12.23012
 	HD092055  	CII...      	 3888	 100	 1.23	 0.94	 0.02	 0.35	0 	HD092055  	159.38864	-13.38454
 	HD092125  	G2.5IIa     	 5433	  25	 1.88	 0.06	 0.01	 0.06	0 	HD092125  	159.68005	+31.97624
 	HD092588  	K1IV        	 5116	  28	 3.67	 0.06	-0.03	 0.06	0 	HD092588  	160.35078	-01.74149
 	HD092769  	A4Vn        	 7902	  47	 3.98	 0.05	-0.20	 0.07	0 	HD092769  	160.75784	+26.32558
 	HD092839  	CII...      	 3826	  89	 1.09	 0.92	 0.14	 0.31	0 	HD092839  	161.26679	+67.41138
 	HD093487  	F8          	 5120	  35	 2.31	 0.10	-1.20	 0.09	0 	HD093487  	161.98139	+23.33528
 	HD093813  	K0/K1III    	 4371	  19	 2.13	 0.09	-0.18	 0.05	0 	HD093813  	162.40620	-16.19365
 	HD094247  	K3III       	 4233	  16	 1.86	 0.09	-0.19	 0.05	0 	HD094247  	163.39355	+54.58513
 	HD094264  	K0III       	 4731	  19	 2.82	 0.06	-0.12	 0.04	0 	HD094264  	163.32794	+34.21487
O	HD094280  	F8          	 6054	  33	 4.22	 0.06	 0.06	 0.05	0 	HD094280  	163.20394	-06.82199
 	HD094363  	K0III+...   	 5036	  26	 3.11	 0.07	-0.21	 0.06	0 	HD094363  	163.35401	-02.25521
 	HD094600  	K1III       	 4634	  20	 2.52	 0.07	-0.16	 0.05	0 	HD094600  	163.93493	+33.50693
 	HD094601  	A1V         	 9429	 153	 3.87	 0.08	-0.30	 0.11	0 	HD094601  	163.90343	+24.74980
 	HD094669  	K2III       	 4562	  22	 2.64	 0.08	-0.13	 0.05	0 	HD094669  	164.06049	+42.00815
 	HD095128  	G1V         	 5855	  29	 4.24	 0.06	 0.00	 0.04	0 	HD095128  	164.86656	+40.43026
 	HD095241  	F9V         	 5899	  30	 3.83	 0.06	-0.28	 0.05	0 	HD095241  	165.08615	+42.91172
 	HD095272  	K1III       	 4712	  24	 2.51	 0.08	-0.06	 0.05	0 	HD095272  	164.94360	-18.29878
 	HD095345  	K1III       	 4559	  24	 2.17	 0.09	-0.15	 0.06	0 	HD095345  	165.14020	+03.61749
 	HD095418  	A1V         	 9370	 133	 3.85	 0.07	-0.03	 0.07	0 	HD095418  	165.46032	+56.38243
 	HD095849  	K3III       	 4501	  29	 2.40	 0.11	 0.17	 0.06	0 	HD095849  	165.90247	-00.00083
 	HD096436  	G9IIICN...  	 4792	  27	 2.85	 0.09	-0.46	 0.06	0 	HD096436  	166.72586	+01.95553
 	HD096833  	K1III       	 4621	  22	 2.33	 0.07	-0.02	 0.05	0 	HD096833  	167.41587	+44.49849
 	HD097603  	A4V         	 8141	  57	 3.84	 0.07	-0.18	 0.07	0 	HD097603  	168.52709	+20.52372
 	HD097633  	A2V         	 9154	 130	 3.25	 0.09	-0.25	 0.10	0 	HD097633  	168.56002	+15.42957
 	HD097907  	K3III       	 4368	  18	 2.21	 0.09	-0.05	 0.05	0 	HD097907  	168.96625	+13.30758
 	HD098231  	G0V         	 5927	  25	 4.34	 0.05	-0.29	 0.04	0 	HD098231  	169.54542	+31.52916
 	HD098430  	K0III       	 4610	  30	 2.09	 0.11	-0.44	 0.07	0 	HD098430  	169.83520	-14.77854
 	HD098553  	G2/G3V      	 5867	  54	 4.36	 0.09	-0.48	 0.10	0 	HD098553  	170.04831	-19.57791
 	HD098744  	G0          	 6191	  49	 4.06	 0.08	-0.26	 0.07	0 	HD098744  	170.52947	+37.08755
 	HD098824  	K1III       	 4776	  21	 2.61	 0.06	 0.01	 0.05	0 	HD098824  	170.62061	+17.43701
O	HD098991  	F3IV        	 6600	  37	 3.93	 0.05	-0.02	 0.04	0 	HD098991  	170.84118	-18.77997
 	HD099028  	F4IV        	 6739	  36	 3.96	 0.05	 0.19	 0.04	0 	HD099028  	170.98105	+10.52951
O	HD099167  	K5III       	 3819	   7	 1.76	 0.10	-0.08	 0.04	0 	HD099167  	171.15246	-10.85932
 	HD099491  	K0IV        	 5470	  29	 4.39	 0.06	 0.38	 0.05	0 	HD099491  	171.68884	+03.01310
O	HD099747  	F5Vawvar    	 6667	  31	 4.19	 0.03	-0.48	 0.04	0 	HD099747  	172.26901	+61.77837
 	HD099998  	K3.5III     	 3991	  12	 1.61	 0.11	-0.26	 0.05	0 	HD099998  	172.57872	-03.00350
 	HD100006  	K0III       	 4719	  22	 2.51	 0.07	-0.20	 0.05	0 	HD100006  	172.62096	+18.40980
 	HD100030  	G9IV        	 4977	  23	 2.95	 0.06	-0.40	 0.05	0 	HD100030  	172.72062	+47.92892
 	HD100446  	F8          	 6087	  37	 4.22	 0.06	-0.45	 0.06	0 	HD100446  	173.52943	+65.24253
 	HD100470  	K0III       	 4714	  23	 2.58	 0.08	-0.17	 0.05	0 	HD100470  	173.48452	+36.81561
 	HD100563  	F5V         	 6404	  57	 4.22	 0.08	 0.04	 0.07	0 	HD100563  	173.59146	+03.06017
 	HD100696  	K0III       	 4896	  26	 2.50	 0.08	-0.34	 0.06	0 	HD100696  	174.01165	+69.32295
 	HD100889  	B9.5Vn      	10563	 116	 3.83	 0.07	-0.27	 0.07	0 	HD100889  	174.17047	-09.80225
 	HD100920  	G9III       	 4877	  23	 2.55	 0.07	-0.20	 0.05	0 	HD100920  	174.23721	-00.82375
 	HD101484  	K0III       	 4919	  29	 2.80	 0.08	 0.02	 0.06	0 	HD101484  	175.19611	+21.35273
 	HD101501  	G8V         	 5586	  27	 4.60	 0.05	 0.03	 0.05	0 	HD101501  	175.26256	+34.20164
 	HD101673  	K3III       	 4376	  24	 1.97	 0.10	-0.13	 0.06	0 	HD101673  	175.61817	+66.74491
 	HD101676  	F6V         	 6197	  38	 4.14	 0.06	-0.43	 0.06	0 	HD101676  	175.51651	+12.28491
 	HD102070  	G8III       	 5028	  30	 2.57	 0.08	 0.03	 0.07	0 	HD102070  	176.19073	-18.35067
 	HD102212  	M1III       	 3738	   6	 1.55	 0.10	-0.41	 0.05	0 	HD102212  	176.46483	+06.52938
 	HD102224  	K0.5IIIb    	 4462	  20	 2.05	 0.08	-0.38	 0.05	0 	HD102224  	176.51256	+47.77941
O	HD102328  	K3III       	 4389	  21	 2.59	 0.10	 0.30	 0.05	0 	HD102328  	176.73176	+55.62819
 	HD102574  	F7V         	 5973	  34	 3.89	 0.06	 0.18	 0.05	0 	HD102574  	177.09786	-10.31310
O	HD102634  	F7V         	 6210	  34	 4.10	 0.06	 0.16	 0.04	0 	HD102634  	177.25534	-00.31867
 	HD102870  	F9V         	 6071	  30	 4.05	 0.06	 0.13	 0.04	0 	HD102870  	177.67383	+01.76472
 	HD103047  	K0          	 5000	  26	 3.38	 0.06	 0.06	 0.05	0 	HD103047  	177.98985	+08.82999
 	HD103287  	A0V         	 9361	 139	 3.85	 0.07	-0.44	 0.09	0 	HD103287  	178.45770	+53.69476
 	HD104304  	G9IV        	 5546	  32	 4.33	 0.06	 0.31	 0.05	0 	HD104304  	180.18521	-10.44601
 	HD104783  	G5III       	 5103	  91	 2.63	 0.25	-0.68	 0.22	0 	HD104783  	181.02172	+37.99971
O	HD104979  	G8IIIa      	 4818	  32	 1.98	 0.10	-0.58	 0.08	0 	HD104979  	181.30225	+08.73299
 	HD104985  	G9III       	 4713	  25	 2.47	 0.09	-0.33	 0.06	0 	HD104985  	181.31299	+76.90573
 	HD105043  	K2III       	 4399	  21	 2.43	 0.09	-0.22	 0.05	0 	HD105043  	181.41542	+62.93312
O	HD105262  	B9          	 8855	    	 1.82	     	-1.61	     	2 	HD105262  	181.79511	+12.98547
 	HD105546  	G2IIIw      	 5106	  45	 2.30	 0.13	-1.48	 0.11	0 	HD105546  	182.26133	+59.01809
 	HD105755  	G0Vw        	 5788	  76	 4.08	 0.15	-0.66	 0.14	0 	HD105755  	182.56615	+54.48814
 	HD105944  	G7III       	 4995	  45	 2.39	 0.13	-0.70	 0.11	0 	HD105944  	182.87230	+44.25071
 	HD106365  	K2III       	 4630	  74	 2.71	 0.25	-0.01	 0.16	0 	HD106365  	183.52722	+32.78421
 	HD106516  	F5V         	 6173	  28	 4.31	 0.04	-0.73	 0.05	0 	HD106516  	183.79399	-10.31240
 	HD106591  	A3V         	 8564	 119	 3.83	 0.14	-0.35	 0.15	0 	HD106591  	183.85650	+57.03262
 	HD106714  	G8III       	 4928	  36	 2.56	 0.10	-0.22	 0.08	0 	HD106714  	184.08558	+23.94541
 	HD107113  	F4V         	 6456	  43	 4.19	 0.05	-0.45	 0.06	0 	HD107113  	184.21391	+86.43582
 	HD107213  	F8Vs        	 6170	  48	 3.96	 0.09	 0.20	 0.06	0 	HD107213  	184.87303	+28.15692
 	HD107259  	A2IV        	 8756	  77	 3.54	 0.09	-0.17	 0.06	0 	HD107259  	184.97649	-00.66680
 	HD107328  	K0IIIb      	 4420	  24	 2.10	 0.10	-0.39	 0.06	0 	HD107328  	185.08742	+03.31257
 	HD107383  	G8III       	 4806	  34	 2.44	 0.11	-0.36	 0.08	0 	HD107383  	185.17927	+17.79287
 	HD107418  	K0III       	 4753	  23	 2.77	 0.07	-0.03	 0.05	0 	HD107418  	185.23214	-13.56572
 	HD107752  	G5          	 4868	  50	 1.90	 0.15	-2.47	 0.10	0 	HD107752  	185.71965	+11.60708
 	HD107950  	G6III       	 5176	  30	 2.48	 0.07	-0.02	 0.07	0 	HD107950  	186.00623	+51.56226
 	HD108225  	G9III       	 5060	  26	 2.85	 0.07	 0.08	 0.06	0 	HD108225  	186.46224	+39.01862
 	HD108317  	G0          	 5114	  40	 2.46	 0.12	-2.27	 0.09	0 	HD108317  	186.65347	+05.30251
 	HD108381  	K1III       	 4693	  24	 2.71	 0.08	 0.24	 0.05	0 	HD108381  	186.73447	+28.26842
 	HD108510  	G0          	 6008	  33	 4.37	 0.06	 0.01	 0.05	0 	HD108510  	186.98121	-08.67799
 	HD108954  	F9V         	 6028	  31	 4.35	 0.05	-0.12	 0.05	0 	HD108954  	187.70890	+53.07661
 	HD108985  	K5          	 3960	  11	 1.78	 0.11	 0.01	 0.04	0 	HD108985  	187.83923	+07.60431
 	HD109303  	F8          	 6057	  41	 4.08	 0.07	-0.57	 0.07	0 	HD109303  	188.32929	+49.30190
 	HD109317  	K0III       	 4862	  24	 2.61	 0.07	-0.08	 0.05	0 	HD109317  	188.41216	+33.24758
 	HD109345  	K0III       	 4772	  22	 2.55	 0.07	-0.09	 0.05	0 	HD109345  	188.44756	+33.38467
 	HD109358  	G0V         	 5879	  27	 4.34	 0.05	-0.24	 0.05	0 	HD109358  	188.43560	+41.35748
 	HD109387  	B6IIIpe     	15302	1016	 2.49	 0.16	-0.65	 0.36	0 	HD109387  	188.37060	+69.78824
O	HD109995  	A0p         	 8441	    	 3.18	     	-1.74	     	2m	HD109995  	189.69833	+39.30878
 	HD110010  	G0          	 5904	  45	 4.26	 0.08	 0.33	 0.06	0 	HD110010  	189.32992	+79.21548
 	HD110014  	K2III       	 4495	  24	 2.47	 0.09	 0.30	 0.05	0 	HD110014  	189.81153	-07.99556
 	HD110184  	G5          	 4478	  39	 0.96	 0.13	-2.25	 0.08	0 	HD110184  	190.05866	+08.52724
 	HD110281  	K5          	 4130	  20	 0.46	 0.08	-1.38	 0.05	0 	HD110281  	190.26508	-00.62050
 	HD110679  	G5III       	 4994	  39	 2.51	 0.11	-0.67	 0.09	0 	HD110679  	190.89853	+25.78065
 	HD110897  	G0V         	 5844	  28	 4.29	 0.05	-0.57	 0.05	0 	HD110897  	191.24752	+39.27892
 	HD110930  	G7IIIw      	 5000	  40	 2.50	 0.11	-0.58	 0.10	0 	HD110930  	191.33414	+28.68226
 	HD111028  	K1III-IV    	 4803	  23	 3.19	 0.07	-0.15	 0.05	0 	HD111028  	191.59394	+09.53968
 	HD111335  	K5III       	 3875	   9	 1.47	 0.10	-0.05	 0.04	0 	HD111335  	191.89310	+66.79030
 	HD111591  	K0III       	 4843	  23	 2.77	 0.07	-0.19	 0.05	0 	HD111591  	192.57207	+22.86341
 	HD111721  	G6V         	 5072	  32	 2.66	 0.10	-1.30	 0.07	0 	HD111721  	192.85498	-13.49116
 	HD111765  	K4III:      	 4346	  16	 2.16	 0.08	-0.02	 0.04	0 	HD111765  	192.90371	+03.05679
 	HD111812  	G0IIIp      	 5771	  29	 3.20	 0.07	 0.02	 0.05	0 	HD111812  	192.92467	+27.54071
 	HD112030  	G7III       	 4972	  27	 2.51	 0.08	-0.48	 0.06	0 	HD112030  	193.29119	+32.28667
 	HD112127  	K2.5III     	 4447	  27	 2.58	 0.11	 0.30	 0.06	0 	HD112127  	193.48227	+26.77999
 	HD112142  	M3III       	 3525	   8	 1.05	 0.16	-0.10	 0.06	0 	HD112142  	193.58818	-09.53899
 	HD112300  	M3III       	 3445	   6	 1.05	 0.13	-0.03	 0.05	0 	HD112300  	193.90087	+03.39747
 	HD113022  	F6Vs        	 6441	  27	 4.11	 0.04	 0.07	 0.03	0 	HD113022  	195.16130	+18.37301
 	HD113092  	K2III       	 4272	  20	 1.50	 0.10	-0.72	 0.06	0 	HD113092  	194.97946	+66.59727
 	HD113095  	K0III       	 4952	  28	 2.66	 0.08	-0.09	 0.06	0 	HD113095  	195.29006	+17.12315
 	HD113226  	G8III       	 5126	  29	 2.82	 0.07	 0.13	 0.06	0 	HD113226  	195.54415	+10.95915
 	HD113436  	A3Vn        	 8735	 115	 3.67	 0.16	-0.37	 0.15	0 	HD113436  	195.66843	+59.71631
 	HD113515  	G8III       	 4714	  29	 2.39	 0.10	-0.60	 0.07	0 	HD113515  	196.00087	+30.46699
 	HD113847  	K1III       	 4560	  22	 2.31	 0.08	-0.12	 0.05	0 	HD113847  	196.46778	+45.26855
 	HD113848  	F4V         	 6680	  31	 4.17	 0.04	-0.22	 0.04	0 	HD113848  	196.58850	+21.15340
 	HD113994  	G7III       	 4785	  27	 2.59	 0.09	-0.38	 0.06	0 	HD113994  	196.59535	+62.04187
 	HD113996  	K5III       	 3998	  11	 1.90	 0.11	-0.05	 0.04	0 	HD113996  	196.79471	+27.62474
 	HD114038  	K1III       	 4621	  21	 2.48	 0.07	 0.02	 0.05	0 	HD114038  	196.97422	-10.74041
 	HD114092  	K4III       	 4199	  16	 2.42	 0.10	 0.21	 0.05	0 	HD114092  	196.97347	+27.55596
 	HD114113  	K3III       	 4507	  23	 2.41	 0.09	-0.10	 0.05	0 	HD114113  	197.13528	-08.98438
 	HD114203  	K0          	 4869	  28	 2.63	 0.08	-0.13	 0.06	0 	HD114203  	197.30933	-09.53810
 	HD114256  	K0III       	 4834	  26	 2.66	 0.08	 0.01	 0.06	0 	HD114256  	197.30182	+10.02247
 	HD114287  	K5III       	 3992	  12	 1.90	 0.12	 0.06	 0.04	0 	HD114287  	197.43866	-10.32933
 	HD114330  	A1IVs+...   	 9550	 130	 3.85	 0.07	-0.23	 0.07	0 	HD114330  	197.48746	-05.53901
 	HD114357  	K3III       	 4426	  21	 2.65	 0.09	 0.14	 0.05	0 	HD114357  	197.41102	+37.42315
 	HD114642  	F6V         	 6401	  30	 4.04	 0.04	-0.12	 0.04	0 	HD114642  	198.01476	-16.19860
 	HD114710  	F9.5V       	 6004	  29	 4.36	 0.05	 0.03	 0.04	0 	HD114710  	197.96831	+27.87818
 	HD114946  	G8III/IV    	 5060	  26	 3.23	 0.07	-0.37	 0.06	0 	HD114946  	198.54540	-19.93095
 	HD114961  	M7III       	 3080	  19	 0.36	 0.44	-1.00	 0.00	0 	HD114961  	198.51827	-02.80699
O	HD115004  	K0III       	 4905	  24	 2.37	 0.06	 0.09	 0.05	0 	HD115004  	198.42892	+40.15289
 	HD115061  	K0          	 4559	  21	 2.74	 0.08	-0.02	 0.05	0 	HD115061  	198.25080	+67.30969
 	HD115136  	K2III       	 4611	  22	 2.59	 0.07	 0.03	 0.05	0 	HD115136  	198.36678	+67.28796
 	HD115202  	K1III       	 4791	  23	 3.19	 0.07	-0.06	 0.05	0 	HD115202  	198.99488	-19.94310
 	HD115383  	G0Vs        	 6024	  32	 4.26	 0.06	 0.15	 0.04	0 	HD115383  	199.19381	+09.42416
 	HD115444  	K0          	 4874	  46	 1.91	 0.14	-2.52	 0.10	0 	HD115444  	199.17691	+36.38130
 	HD115539  	G8III-IV    	 4902	  24	 2.48	 0.07	-0.43	 0.06	0 	HD115539  	199.40813	+13.76384
 	HD115589  	G8IV        	 5228	  74	 4.42	 0.14	 0.25	 0.13	0 	HD115589  	199.55640	-14.58210
 	HD115604  	F3III       	 7176	  47	 3.61	 0.07	 0.54	 0.04	0 	HD115604  	199.38559	+40.57261
 	HD115617  	G5V         	 5598	  32	 4.46	 0.06	 0.01	 0.05	0 	HD115617  	199.60131	-18.31120
 	HD116292  	K0III       	 4955	  25	 2.68	 0.07	-0.07	 0.06	0 	HD116292  	200.75464	-17.73527
 	HD116656  	A2V         	 9135	 139	 3.89	 0.07	-0.03	 0.08	0 	HD116656  	200.98143	+54.92536
 	HD116658  	B1III-IV+...	15073	1892	 3.60	 0.22	-0.01	 0.07	0 	HD116658  	201.29825	-11.16132
 	HD116976  	K1IIICN     	 4796	  28	 2.63	 0.08	 0.20	 0.06	0 	HD116976  	201.86318	-15.97358
 	HD117176  	G5V         	 5502	  30	 3.89	 0.07	-0.10	 0.05	0 	HD117176  	202.10754	+13.77879
 	HD117243  	G5III       	 5855	  34	 4.16	 0.07	 0.24	 0.05	0 	HD117243  	202.16372	+28.44859
 	HD117818  	K0III       	 4904	  24	 2.53	 0.07	-0.32	 0.06	0 	HD117818  	203.24197	-10.16500
 	HD117876  	G8III       	 4766	  29	 2.50	 0.10	-0.46	 0.07	0 	HD117876  	203.20090	+24.34674
 	HD118055  	K0w...      	 4380	  27	 0.78	 0.10	-1.86	 0.07	0 	HD118055  	203.66630	-16.32298
 	HD118098  	A3V         	 8347	  77	 3.93	 0.09	-0.26	 0.10	0 	HD118098  	203.67330	-00.59582
 	HD118100  	K5Ve        	 4239	  25	 4.53	 0.07	-0.17	 0.08	0 	HD118100  	203.68002	-08.34204
 	HD118244  	F5V         	 6343	  43	 4.21	 0.05	-0.50	 0.06	0 	HD118244  	203.79757	+22.49973
 	HD118266  	K1III+...   	 4746	  22	 2.76	 0.07	-0.13	 0.05	0 	HD118266  	203.88927	+10.20496
 	HD119516  	G5          	 5315	  52	 2.62	 0.15	-1.84	 0.13	0 	HD119516  	205.86135	+15.57530
 	HD120136  	F6IV        	 6318	  33	 4.15	 0.05	 0.20	 0.04	0 	HD120136  	206.81560	+17.45691
 	HD120164  	K0III+...   	 4797	  22	 2.58	 0.07	-0.10	 0.05	0 	HD120164  	206.74906	+38.54270
 	HD120315  	B3V         	17291	 336	 3.86	 0.08	-0.14	 0.07	0 	HD120315  	206.88516	+49.31326
 	HD120348  	K1III       	 4659	  20	 2.44	 0.07	-0.17	 0.05	0 	HD120348  	207.02129	+42.04747
 	HD120452  	K0III       	 4821	  26	 2.65	 0.08	 0.01	 0.06	0 	HD120452  	207.46785	-18.13417
 	HD120933  	K5III       	 3509	   6	 1.01	 0.11	-0.11	 0.04	0 	HD120933  	207.94781	+34.44424
 	HD121146  	K2IV        	 4385	  20	 2.70	 0.08	-0.08	 0.05	0 	HD121146  	207.74633	+68.31530
 	HD121299  	K2III       	 4756	  24	 2.66	 0.07	 0.13	 0.05	0 	HD121299  	208.67561	-01.50312
O	HD121370  	G0IV        	 5998	  34	 3.82	 0.07	 0.28	 0.05	0 	HD121370  	208.67116	+18.39772
 	HD121560  	F6V         	 6133	  30	 4.27	 0.05	-0.41	 0.05	0 	HD121560  	208.95831	+14.05650
 	HD122408  	A3V         	 8308	  59	 3.80	 0.07	-0.27	 0.08	0 	HD122408  	210.41164	+01.54453
 	HD122563  	F8IV        	 4755	  34	 1.62	 0.11	-2.37	 0.07	0 	HD122563  	210.63269	+09.68610
 	HD122956  	G6IV/Vw...  	 4594	  36	 1.23	 0.12	-1.85	 0.09	0 	HD122956  	211.30427	-14.85707
 	HD123299  	A0III       	10307	 175	 3.90	 0.07	-0.14	 0.09	0 	HD123299  	211.09729	+64.37585
O	HD123657  	M4.5:III    	 3235	   8	 0.48	 0.15	-0.20	 0.08	0 	HD123657  	211.98232	+43.85445
 	HD123934  	M1III       	 3680	   8	 1.30	 0.15	-0.23	 0.06	0 	HD123934  	212.71036	-16.30203
 	HD123977  	K0III       	 4799	  25	 2.51	 0.08	-0.24	 0.06	0 	HD123977  	212.19186	+59.33765
 	HD124186  	K4III       	 4404	  19	 2.58	 0.08	 0.29	 0.04	0 	HD124186  	212.81300	+32.29589
O	HD124244  	G5          	 5782	  39	 4.02	 0.08	 0.07	 0.06	0 	HD124244  	213.07131	+08.40697
 	HD124547  	K3III       	 4141	  16	 1.73	 0.10	-0.16	 0.05	0 	HD124547  	212.21220	+77.54751
 	HD124570  	F6IV        	 6114	  31	 3.95	 0.06	 0.10	 0.04	0 	HD124570  	213.52158	+12.95944
 	HD124850  	F7IV        	 6226	  29	 3.90	 0.05	-0.07	 0.04	0 	HD124850  	214.00362	-06.00055
 	HD124897  	K1.5III     	 4310	  26	 2.02	 0.13	-0.54	 0.08	0 	HD124897  	213.91530	+19.18241
 	HD125184  	G5IV        	 5611	  28	 3.97	 0.06	 0.26	 0.05	0 	HD125184  	214.50303	-07.54239
 	HD125451  	F5IV        	 6609	  42	 4.14	 0.05	-0.07	 0.05	0 	HD125451  	214.81783	+13.00430
 	HD125454  	G8III       	 4842	  23	 2.58	 0.07	-0.11	 0.05	0 	HD125454  	214.88533	-02.26552
 	HD125560  	K3III       	 4451	  21	 2.57	 0.08	 0.22	 0.05	0 	HD125560  	214.93848	+16.30695
 	HD126141  	F5V         	 6677	  29	 4.17	 0.03	-0.08	 0.04	0 	HD126141  	215.77842	+25.33817
O	HD126271  	K4III       	 4442	  22	 2.54	 0.09	-0.01	 0.05	0 	HD126271  	216.07612	+08.08459
 	HD126327  	M7.5        	 3088	  17	 0.30	 0.36	-1.00	 0.00	0 	HD126327  	216.04845	+25.70372
 	HD126661  	F0m         	 7613	  45	 3.47	 0.05	 0.36	 0.04	0 	HD126661  	216.61402	+19.22690
 	HD126681  	G3V         	 5631	  70	 4.38	 0.13	-1.12	 0.16	0 	HD126681  	216.85379	-18.41124
 	HD126778  	K0III       	 4847	  29	 2.47	 0.09	-0.50	 0.07	0 	HD126778  	216.72568	+28.58901
 	HD126868  	G2IV        	 5707	  49	 3.67	 0.11	 0.01	 0.08	0 	HD126868  	217.05058	-02.22796
 	HD127334  	G5V         	 5667	  31	 4.21	 0.06	 0.23	 0.05	0 	HD127334  	217.40337	+41.79591
 	HD127665  	K3III       	 4307	  18	 2.17	 0.09	-0.05	 0.05	0 	HD127665  	217.95746	+30.37144
 	HD128000  	K5III       	 3941	  12	 1.86	 0.12	 0.05	 0.05	0 	HD128000  	218.12890	+55.39801
O	HD128167  	F2V         	 6703	  26	 4.21	 0.03	-0.42	 0.04	0 	HD128167  	218.67007	+29.74513
 	HD128385  	F5          	 6192	  40	 4.19	 0.06	-0.24	 0.06	0 	HD128385  	218.39811	+65.39543
 	HD128750  	K2III:      	 4617	  21	 2.50	 0.08	-0.21	 0.05	0 	HD128750  	219.55828	+18.29838
 	HD128987  	G6V         	 5581	  29	 4.62	 0.05	 0.08	 0.05	0 	HD128987  	220.12961	-16.20929
O	HD129132  	G0V         	 6761	  45	 3.90	 0.06	 0.04	 0.05	0 	HD129132  	220.09114	+21.97587
 	HD129312  	G7III       	 5002	  28	 2.37	 0.07	 0.02	 0.06	0 	HD129312  	220.41146	+08.16176
 	HD129336  	G8III       	 4942	  32	 2.64	 0.09	-0.28	 0.07	0 	HD129336  	220.43134	+11.66066
 	HD129956  	B9.5V       	10252	 160	 3.86	 0.09	-0.37	 0.10	0 	HD129956  	221.37586	+00.71727
 	HD129972  	G8.5III     	 4987	  28	 2.64	 0.07	-0.02	 0.06	0 	HD129972  	221.31025	+16.96428
 	HD129978  	K2III       	 4500	  20	 2.25	 0.08	-0.20	 0.05	0 	HD129978  	221.49065	-15.45954
 	HD130025  	K0          	 5226	  32	 2.82	 0.08	-0.13	 0.07	0 	HD130025  	221.33575	+18.88496
 	HD130087  	G2IV        	 5950	  33	 4.10	 0.06	 0.23	 0.05	0 	HD130087  	221.48660	+10.05201
 	HD130109  	A0V         	 9772	 205	 3.83	 0.12	-0.41	 0.14	0 	HD130109  	221.56218	+01.89289
 	HD130325  	K0III       	 4706	  26	 2.53	 0.08	-0.16	 0.06	0 	HD130325  	221.97896	-12.84001
 	HD130705  	K4II-III    	 4425	  22	 2.57	 0.09	 0.38	 0.05	0 	HD130705  	222.35898	+10.04416
 	HD130948  	G1V         	 5993	  31	 4.41	 0.05	-0.01	 0.05	0 	HD130948  	222.56588	+23.91184
 	HD130952  	G8III       	 4789	  27	 2.50	 0.09	-0.40	 0.06	0 	HD130952  	222.75446	-02.29915
 	HD131111  	K0III       	 4724	  26	 2.82	 0.08	-0.27	 0.06	0 	HD131111  	222.62353	+37.27205
 	HD131156  	G8V         	 5530	  29	 4.60	 0.06	-0.08	 0.05	0 	HD131156  	222.84741	+19.10046
 	HD131507  	K4III       	 4162	  16	 2.10	 0.11	-0.11	 0.05	0 	HD131507  	222.86015	+59.29399
 	HD131873  	K4III       	 4067	  13	 1.70	 0.11	-0.13	 0.05	0 	HD131873  	222.67636	+74.15550
 	HD131918  	K4III       	 4148	  17	 1.67	 0.11	-0.03	 0.05	0 	HD131918  	224.19213	-11.40970
 	HD132132  	K1III       	 4681	  26	 2.55	 0.08	 0.08	 0.06	0 	HD132132  	224.38855	-00.16761
 	HD132254  	F7V         	 6195	  30	 4.15	 0.05	 0.05	 0.04	0 	HD132254  	224.09600	+49.62845
 	HD132345  	K3IIICN...  	 4450	  24	 2.53	 0.10	 0.36	 0.05	0 	HD132345  	224.72325	-11.14401
 	HD132883  	K1:IV-V:    	 4534	  20	 2.82	 0.07	 0.05	 0.04	0 	HD132883  	225.39726	-03.16426
 	HD133165  	K0.5IIIb    	 4725	  24	 2.50	 0.08	-0.24	 0.06	0 	HD133165  	225.72516	+02.09130
 	HD133208  	G8IIIa      	 5049	  45	 2.35	 0.11	-0.05	 0.10	0 	HD133208  	225.48651	+40.39057
 	HD134063  	G5III       	 4901	  28	 2.40	 0.09	-0.68	 0.07	0 	HD134063  	226.81433	+22.56436
 	HD134083  	F5V         	 6517	  30	 4.18	 0.04	-0.03	 0.04	0 	HD134083  	226.82527	+24.86920
 	HD134169  	G1Vw        	 5878	  33	 4.07	 0.06	-0.77	 0.06	0 	HD134169  	227.07524	+03.93060
 	HD134190  	G7.5III     	 4937	  30	 2.54	 0.09	-0.38	 0.07	0 	HD134190  	226.56965	+54.55632
