Miles,Name,Teff,[Fe/H],logg
318,BD-12 2669,6800,-1.5,4.1
319,HD 74462,4773,-1.37,1.82
320,HD 75318,5432,-0.13,4.48
321,HD 75691,4330,-0.05,2.21
322,HD 75732,5260,0.43,4.35
323,HD 76151,5748,0.15,4.42
324,HD 76292,6958,0.16,3.88
325,HD 76932,5908,-0.82,4.09
326,HD 76780,5704,0.18,4.28
327,BD-05 2678,5492,-2.02,3.85
328,HD 76910,6397,-0.51,4.23
329,BD-03 2525,5869,-1.6,4.09
330,HD 76813,5065,-0.06,2.63
331,HD 77338,5300,0.36,4.3
332,HD 77236,4387,-0.75,1.83
333,HD 78541,3931,-0.22,1.41
334,HD 78234,6976,-0.06,4.04
335,HD 78558,5651,-0.45,4.06
336,HD 78209,7519,0.55,3.77
337,HD 78737,6550,-0.46,4.19
338,HD 78732,4939,-0.07,2.27
339,HD 79211,3849,-0.64,4.67
340,HD 79452,4982,-0.79,2.31
341,HD 79765,7146,-0.26,4.11
342,HD 79633,7223,-0.26,4.06
343,HD 80390,3205,-0.17,0.61
344,HD 81009,8829,0.84,3.79
345,HD 81029,6714,-0.08,4.14
346,HD 81192,4790,-0.72,2.56
347,HD 81797,4171,0.08,1.56
348,BD+09 2190,6270,-2.86,4.11
349,HD 82074,5090,-0.43,3.21
350,HD 82590,6669,-0.81,4.22
351,HD 82734,4946,0.22,2.6
352,HD 82210,5445,-0.1,3.64
353,HD 82885,5520,0.4,4.41
354,HD 83212,4466,-1.65,0.96
355,HD 81817,4198,0.21,1.35
356,HD 83425,4189,-0.3,2.09
357,HD 83618,4275,-0.07,1.96
358,HD 83632,4171,-0.75,1.32
359,HD 233666,5161,-1.62,2.42
360,HD 83506,4920,0.14,2.39
361,HD 84441,5398,-0.06,2.02
362,HD 84737,5872,0.12,4.05
363,HD 84937,6211,-2.05,4.0
364,HD 85235,8769,-0.23,3.69
365,HD 237846,4675,-3.15,1.2
366,HD 85503,4466,0.31,2.65
367,HD 85773,4250,-2.4,0.6
368,HD 86986,8000,-1.7,2.55
369,HD 87141,6359,0.09,3.9
370,HD 87140,5092,-1.7,2.48
371,HD 87737,10958,0.11,2.11
372,HD 87822,6573,0.1,4.06
373,HD 88230,3960,-0.05,4.55
374,HD 88446,5848,-0.51,3.89
375,HD 88725,5647,-0.64,4.24
376,HD 88609,4535,-2.8,1.2
377,HD 88737,6106,0.2,3.89
378,HD 88986,5766,0.04,4.04
379,HD 89010,5642,0.0,3.8
380,HD 89254,7166,0.31,3.83
381,HD 89449,6467,0.11,4.11
382,HD 89484,4426,-0.38,1.84
383,HD 89707,5937,-0.47,4.25
384,HD 89744,6169,0.18,3.93
385,HD 89995,6472,-0.24,4.08
386,HD 89822,10182,0.07,3.85
387,HD 90508,5776,-0.3,4.31
388,HD 237903,4076,-0.26,4.7
389,HD 91347,5887,-0.44,4.26
390,HD 91889,6109,-0.21,4.16
391,HD 92523,4135,-0.29,1.77
392,HD 93329,8400,-1.2,3.1
393,HD 93487,5215,-1.06,2.41
