star,T_eff,log_g,metallicity
HD193621.fits,9587.0,2.94,-0.52
HD019476.fits,4978.0,2.97,0.14
HD195324.fits,9997.0,1.89,-0.06
HD195633.fits,6102.0,4.10,-0.55
HD195725.fits,7702.0,3.66,0.27
HD195810.fits,14355.0,3.71,0.08
HD019656.fits,4684.0,2.33,-0.05
HD196867.fits,10705.0,4.05,-0.06
HD197812.fits,3119.0,0.32,-1.00
HD019787.fits,4869.0,2.79,0.10
HD197939.fits,3438.0,0.77,-0.05
HD198001.fits,9320.0,3.81,-0.31
HD198183.fits,15629.0,3.81,-0.05
HD198390.fits,6424.0,4.18,-0.32
HD199081.fits,15703.0,3.80,-0.11
HD199253.fits,4669.0,2.21,-0.14
HD199478.fits,15983.0,2.48,-0.14
HD199870.fits,4988.0,2.96,0.13
HD019994.fits,6081.0,4.05,0.15
HD201626.fits,4818.0,1.88,-1.71
HD201889.fits,5711.0,4.23,-0.73
HD202259.fits,3748.0,1.39,-0.10
HD202573.fits,4929.0,2.40,-0.64
HD202904.fits,16758.0,2.90,-0.36
HD203525.fits,3951.0,1.74,-0.10
HD204306.fits,6050.0,4.12,-0.58
HD204363.fits,6220.0,4.29,-0.34
HD204543.fits,4612.0,1.20,-1.93
HD204613.fits,5734.0,3.85,-0.35
HD020468.fits,4387.0,1.39,0.04
HD205021.fits,24636.0,3.64,-0.01
HD205637.fits,19106.0,3.07,-0.08
HD206165.fits,20569.0,2.93,-0.28
HD206632.fits,3197.0,0.33,-0.30
HD208110.fits,5011.0,2.25,-1.09
HD208906.fits,6035.0,4.30,-0.72
HD020893.fits,4379.0,2.29,0.09
HD208947.fits,19417.0,3.83,-0.04
HD020902.fits,6490.0,1.74,0.14
HD209409.fits,12221.0,2.62,-0.16
HD210295.fits,4877.0,2.20,-1.29
HD210752.fits,5943.0,4.29,-0.63
HD211391.fits,5021.0,2.77,0.15
HD212571.fits,23278.0,3.53,-0.02
HD214567.fits,4987.0,2.63,-0.26
HD214923.fits,11597.0,3.93,0.06
HD215721.fits,4907.0,2.49,-0.46
HD216143.fits,4606.0,1.21,-2.09
HD216219.fits,5755.0,3.29,-0.28
HD217675.fits,14491.0,2.95,0.03
HD218029.fits,4437.0,2.34,0.18
HD218031.fits,4758.0,2.50,-0.16
HD218101.fits,5220.0,3.76,0.10
HD218502.fits,6137.0,4.05,-1.85
HD218504.fits,5965.0,4.21,-0.58
HD220117.fits,6428.0,4.02,0.03
HD022049.fits,5119.0,4.71,0.00
HD220825.fits,10375.0,3.78,0.74
HD221115.fits,5045.0,2.83,0.06
HD221170.fits,4582.0,1.21,-2.03
HD222107.fits,4679.0,2.86,-0.48
HD022211.fits,6018.0,3.42,0.20
HD222368.fits,6200.0,4.12,-0.12
HD222404.fits,4782.0,3.25,0.08
HD222439.fits,10733.0,3.87,-0.32
HD222574.fits,5536.0,1.69,0.03
HD223047.fits,5015.0,1.32,0.04
HD223165.fits,4728.0,2.50,0.06
HD223252.fits,5034.0,2.76,-0.05
HD223385.fits,10142.0,1.41,0.46
HD224533.fits,5054.0,2.78,-0.04
HD022484.fits,5999.0,4.09,-0.08
HD224926.fits,13068.0,4.13,0.37
HD224930.fits,5427.0,4.34,-0.80
HD225132.fits,10797.0,4.24,0.00
HD225212.fits,4183.0,0.81,0.22
HD225239.fits,5652.0,3.84,-0.47
HD023183.fits,4866.0,2.51,-0.28
HD232078.fits,4028.0,0.53,-1.21
HD023249.fits,5053.0,3.79,0.09
HD237903.fits,4068.0,4.71,-0.35
HD023841.fits,4338.0,2.23,-0.56
HD024421.fits,6117.0,4.17,-0.35
HD002454.fits,6492.0,4.12,-0.29
HD025173.fits,6018.0,4.07,-0.55
HD025329.fits,4840.0,4.85,-1.68
HD025457.fits,6228.0,4.29,0.04
HD025604.fits,4795.0,2.65,0.06
HD025621.fits,6251.0,3.98,0.05
HD025975.fits,4986.0,3.47,0.05
HD002628.fits,7305.0,3.98,-0.07
HD002665.fits,4942.0,2.12,-2.03
HD026965.fits,5108.0,4.49,-0.29
HD027022.fits,5321.0,2.91,-0.05
HD027295.fits,11956.0,3.92,-0.95
HD027348.fits,5045.0,2.88,0.04
HD027371.fits,5016.0,2.84,0.15
HD027382.fits,4501.0,2.28,-0.36
HD027697.fits,5023.0,2.83,0.15
HD027971.fits,4979.0,2.90,0.10
HD028099.fits,5815.0,4.47,0.21
HD028100.fits,4986.0,2.38,-0.17
HD028292.fits,4557.0,2.66,-0.09
HD028305.fits,4978.0,2.77,0.20
HD028307.fits,5078.0,2.97,0.18
HD002857.fits,7776.0,3.19,-1.70
HD028978.fits,8910.0,3.13,-0.26
HD029139.fits,3863.0,1.73,-0.04
HD002952.fits,4800.0,2.61,-0.09
HD029574.fits,4306.0,0.58,-1.90
HD029613.fits,4682.0,2.78,-0.24
HD029645.fits,5989.0,4.03,0.11
HD029763.fits,10073.0,2.60,-0.51
HD030562.fits,5839.0,4.03,0.20
HD030614.fits,32591.0,3.17,-0.10
HD030652.fits,6419.0,4.20,-0.02
HD030739.fits,9457.0,4.00,-0.20
HD030743.fits,6372.0,4.18,-0.41
HD030812.fits,4746.0,2.58,-0.08
HD030834.fits,4223.0,1.63,-0.27
HD031295.fits,8817.0,4.20,-0.82
HD031421.fits,4498.0,2.36,-0.25
HD032147.fits,4617.0,4.53,0.17
HD003268.fits,6225.0,4.11,-0.16
HD032923.fits,5674.0,4.00,-0.22
HD033111.fits,8002.0,3.78,-0.20
HD033256.fits,6406.0,4.13,-0.28
HD033276.fits,7188.0,3.75,0.21
HD003360.fits,21652.0,3.87,-0.08
HD033751.fits,4936.0,2.85,0.12
HD033904.fits,12088.0,4.06,0.28
HD034334.fits,4214.0,2.15,-0.43
HD003454.fits,6186.0,4.30,-0.56
HD034816.fits,29190.0,3.91,-0.06
HD035468.fits,22339.0,3.84,-0.07
HD003546.fits,4979.0,2.46,-0.64
HD035497.fits,14226.0,3.57,0.20
HD035620.fits,4206.0,1.97,0.15
HD000358.fits,12307.0,4.14,0.38
HD036130.fits,5925.0,4.21,0.10
HD036389.fits,3716.0,0.11,0.16
HD036673.fits,7603.0,2.05,0.08
HD036861.fits,37689.0,3.90,0.03
HD037088.fits,5790.0,4.26,0.13
HD037160.fits,4815.0,2.77,-0.57
HD037216.fits,5468.0,4.63,0.03
HD037828.fits,4442.0,1.14,-1.49
HD037984.fits,4480.0,2.24,-0.45
HD037986.fits,5502.0,4.28,0.33
HD003817.fits,5101.0,2.64,-0.15
HD038656.fits,4953.0,2.60,-0.19
HD038674.fits,4069.0,1.85,-0.47
HD038899.fits,10385.0,3.89,-0.16
HD039003.fits,4678.0,2.36,-0.02
HD039283.fits,8856.0,4.13,-0.36
HD039587.fits,5942.0,4.43,-0.04
HD039801.fits,3626.0,0.13,0.09
HD039833.fits,5855.0,4.41,0.15
HD039853.fits,3872.0,1.61,-0.46
HD039866.fits,9427.0,2.15,-0.34
HD040035.fits,4859.0,2.59,-0.07
HD000400.fits,6215.0,4.18,-0.24
HD040111.fits,25771.0,3.27,-0.06
HD040136.fits,6997.0,4.08,-0.05
HD040183.fits,8774.0,3.55,-0.11
HD040239.fits,3388.0,0.55,0.03
HD040460.fits,4804.0,2.53,-0.25
HD040536.fits,7836.0,3.69,0.38
HD040801.fits,4812.0,2.95,-0.25
HD041117.fits,23210.0,2.85,-0.38
HD004128.fits,4906.0,2.63,0.07
HD041330.fits,5873.0,4.18,-0.20
HD041597.fits,4644.0,2.08,-0.51
HD041636.fits,4714.0,2.55,-0.28
HD041640.fits,6093.0,4.28,-0.58
HD041692.fits,16566.0,3.64,0.08
HD004188.fits,4859.0,2.66,-0.04
HD042475.fits,3874.0,0.12,0.18
HD042543.fits,3666.0,0.20,0.14
HD043039.fits,4783.0,2.44,-0.31
HD043042.fits,6459.0,4.16,0.01
HD004306.fits,4915.0,2.01,-2.55
HD004307.fits,5803.0,4.01,-0.26
HD043232.fits,4375.0,1.61,-0.15
HD043247.fits,12600.0,2.95,-0.02
HD043318.fits,6252.0,3.99,-0.13
HD043380.fits,4557.0,2.57,-0.01
HD043827.fits,4400.0,2.03,-0.09
HD043947.fits,5982.0,4.29,-0.30
HD004395.fits,5448.0,3.39,-0.28
HD044007.fits,4971.0,2.28,-1.57
HD044033.fits,3796.0,1.57,0.01
HD044478.fits,3460.0,0.82,-0.03
HD044537.fits,3984.0,0.31,0.20
HD044769.fits,7717.0,3.84,-0.11
HD044951.fits,4384.0,2.14,-0.30
HD045282.fits,5232.0,3.03,-1.50
HD045410.fits,4964.0,3.17,-0.18
HD045412.fits,5987.0,1.88,0.13
HD045674.fits,7630.0,2.05,0.16
HD004614.fits,5928.0,4.33,-0.28
HD046184.fits,4375.0,2.25,0.06
HD046317.fits,6307.0,4.21,-0.24
HD046480.fits,4917.0,3.13,-0.53
HD046588.fits,6162.0,4.25,-0.13
HD047105.fits,9231.0,3.21,-0.28
HD047205.fits,4766.0,3.20,0.18
HD004727.fits,15989.0,3.80,-0.05
HD047731.fits,5151.0,1.32,-0.06
HD047839.fits,40175.0,3.93,0.04
HD004813.fits,6197.0,4.29,-0.13
HD048329.fits,4662.0,0.88,0.15
HD048432.fits,4901.0,2.84,-0.16
HD048433.fits,4531.0,2.13,-0.17
HD048682.fits,6051.0,4.22,0.07
HD048737.fits,6544.0,3.91,0.15
HD048781.fits,4691.0,2.31,-0.07
HD049178.fits,5727.0,4.40,0.07
HD049520.fits,4406.0,2.21,0.01
HD049732.fits,6361.0,4.21,-0.62
HD005015.fits,6070.0,4.06,0.04
HD050420.fits,7275.0,3.70,0.12
HD050692.fits,5887.0,4.29,-0.20
HD051309.fits,19990.0,3.09,-0.04
HD051440.fits,4325.0,1.85,-0.56
HD051530.fits,6094.0,3.96,-0.38
HD005234.fits,4457.0,2.18,-0.08
HD052711.fits,5898.0,4.34,-0.13
HD005286.fits,4844.0,3.47,0.15
HD005395.fits,4890.0,2.51,-0.41
HD054322.fits,5841.0,4.44,0.13
HD054662.fits,42421.0,4.04,0.00
HD054717.fits,6442.0,4.25,-0.42
HD054719.fits,4441.0,2.17,0.16
HD054810.fits,4758.0,2.63,-0.31
HD005516.fits,5039.0,2.88,0.05
HD055280.fits,4692.0,2.82,0.05
HD055575.fits,5868.0,4.25,-0.37
HD056986.fits,7024.0,4.04,-0.17
HD057264.fits,4627.0,2.46,-0.38
HD005750.fits,6330.0,4.21,-0.42
HD057651.fits,3418.0,0.85,-0.07
HD057669.fits,4658.0,1.88,0.13
HD057727.fits,5067.0,3.00,-0.09
HD058207.fits,4831.0,2.58,-0.11
HD058343.fits,18173.0,3.66,0.01
HD058526.fits,5515.0,1.19,0.00
HD058551.fits,6220.0,4.23,-0.50
HD058855.fits,6310.0,4.18,-0.29
HD058946.fits,6991.0,4.11,-0.25
HD059380.fits,6326.0,4.22,-0.15
HD059881.fits,7538.0,3.57,0.16
HD059984.fits,5934.0,4.01,-0.72
HD060179.fits,9340.0,3.79,-0.06
HD061064.fits,6625.0,3.64,0.26
HD061295.fits,7079.0,3.66,0.32
HD006186.fits,4878.0,2.43,-0.35
HD061935.fits,4841.0,2.61,-0.04
HD006203.fits,4570.0,2.31,-0.34
HD062301.fits,5940.0,4.16,-0.65
HD062509.fits,4893.0,2.89,0.05
HD063302.fits,4304.0,0.24,0.12
HD063333.fits,6157.0,4.22,-0.36
HD063352.fits,4179.0,1.92,-0.47
HD063410.fits,4896.0,2.53,-0.37
HD063791.fits,4838.0,1.90,-1.59
HD064238.fits,7166.0,3.16,0.31
HD006461.fits,5106.0,2.45,-0.88
HD006482.fits,4790.0,2.79,-0.09
HD065714.fits,4966.0,2.51,0.12
